title,magnitude,date,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
"M 7.2 - 10 km W of Azángaro, Peru",7.2,2022-05-26,7,5,green,1,876,us,144,2.494,40.0,mww,236.0,-14.8628,-70.3081,"Azángaro, Peru",Peru
M 6.9 -,6.9,2022-05-19,2,5,green,1,733,us,127,0.371,45.0,mww,10.0,-54.1325,159.027,unknown,unknown
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,2022-10-05,6,5,green,1,762,us,162,1.505,30.0,mww,220.0,-23.6141,-66.7236,"San Antonio de los Cobres, Argentina",Argentina
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,2022-04-21,6,5,green,1,762,us,0,0.914,94.0,mww,27.0,11.5538,-86.9919,"Masachapa, Nicaragua",Nicaragua
M 7.0 - southeast of the Loyalty Islands,7.0,2022-03-31,6,4,green,1,763,us,0,2.705,26.0,mww,10.0,-22.5732,170.349,the Loyalty Islands,New Caledonia
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,2022-03-30,6,4,green,1,738,us,0,2.697,42.0,mww,10.0,-22.72,170.277,"Tadine, New Caledonia",New Caledonia
"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,2022-03-22,8,7,green,1,806,us,0,0.289,32.0,mww,24.0,23.3421,121.636,"Hualien City, Taiwan",Taiwan
"M 7.3 - 57 km ENE of Namie, Japan",7.3,2022-03-16,9,8,red,1,2397,us,0,2.936,29.0,mww,41.0,37.7015,141.587,"Namie, Japan",Japan
"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,2022-03-13,9,6,green,0,708,us,0,2.188,43.0,mww,28.0,-0.6831,98.6034,"Pariaman, Indonesia",Indonesia
"M 6.6 - Kermadec Islands, New Zealand",6.6,2022-02-03,2,7,green,1,670,us,0,0.827,46.0,mww,24.0,-30.0528,-177.74,"Kermadec Islands, New Zealand",New Zealand region
M 6.8 - south of the Fiji Islands,6.8,2022-02-16,2,3,green,1,712,us,0,5.78,12.0,mww,535.0,-23.7852,-179.968,the Fiji Islands,Fiji region
"M 6.5 - 49 km NW of Barranca, Peru",6.5,2022-03-02,8,6,green,0,690,us,0,3.026,22.0,mww,110.0,-4.455,-76.9395,"Barranca, Peru",Peru
M 6.5 - Kermadec Islands region,6.5,2022-01-29,7,4,green,1,651,us,0,1.088,57.0,mww,8.0,-29.535,-176.729,Kermadec Islands region,Kermadec Islands region
"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,2022-01-14,8,6,green,0,785,us,0,2.418,22.0,mww,33.0,-6.9291,105.251,"Labuan, Indonesia",Indonesia
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,2022-11-01,0,3,unknown,1,650,at,97,1.61607,108.0,Mi,37.0,52.502,-168.08,"Nikolski, Alaska",USA
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,2022-11-01,0,3,unknown,1,650,pt,23,0.0,208.8,Mi,37.0,52.502,-168.08,"Nikolski, Alaska",USA
"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,2022-11-01,8,5,green,1,674,us,0,0.507,49.0,mww,19.0,52.6252,-168.15,"Nikolski, Alaska",USA
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,2022-11-01,0,4,unknown,1,691,at,50,0.936943,126.0,Mi,33.0,52.48,-167.736,"Nikolski, Alaska",USA
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,2022-11-01,0,4,unknown,1,691,pt,20,0.0,205.2,Mi,33.0,52.48,-167.736,"Nikolski, Alaska",USA
"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,2022-11-01,7,6,green,1,730,us,0,0.92,61.0,mww,20.0,52.6563,-167.917,"Nikolski, Alaska",USA
"M 6.6 - 48 km WNW of Pólis, Cyprus",6.6,2022-11-01,6,6,green,0,976,us,0,1.168,21.0,mww,21.0,35.1456,31.9095,"Pólis, Cyprus",Cyprus
"M 6.6 - northern Qinghai, China",6.6,2022-07-01,9,8,orange,0,1012,us,0,2.685,13.0,mww,13.0,37.8167,101.299,"northern Qinghai, China",CHINA
"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,2021-12-29,8,7,green,0,921,us,0,3.713,19.0,mww,165.49,-7.5924,127.581,"Lospalos, Timor Leste",Indonesia
M 7.3 - Flores Sea,7.3,2021-12-14,9,5,green,1,854,us,0,1.025,32.0,mww,14.27,-7.6033,122.2,Flores Sea,Indonesia
"M 7.5 - 43 km NNW of Barranca, Peru",7.5,2021-11-28,8,8,yellow,1,1094,us,0,4.951,40.0,mww,126.0,-4.4898,-76.8461,"Barranca, Peru",Peru
"M 6.6 - 177 km SE of Hirara, Japan",6.6,2021-10-11,7,4,green,1,688,us,0,3.259,15.0,mww,12.0,23.5414,126.48,"Hirara, Japan",Japan
"M 6.9 - 112 km E of Chignik, Alaska",6.9,2021-11-10,8,6,green,1,995,ak,0,0.0,0.0,mww,51.6,56.2581,-156.492,"Chignik, Alaska",USA
M 6.9 - Vanuatu region,6.9,2021-09-10,4,3,green,1,740,us,0,4.778,31.0,mww,535.0,-21.1704,174.54,Vanuatu region,Vanuatu region
M 7.3 - Vanuatu region,7.3,2021-02-10,4,4,green,1,826,us,0,4.493,32.0,mww,527.0,-21.1036,174.895,Vanuatu region,Vanuatu region
"M 6.5 - 80 km SW of Jiquilillo, Nicaragua",6.5,2021-09-22,7,5,green,1,684,us,0,0.993,114.0,mww,21.0,12.1598,-87.8542,"Jiquilillo, Nicaragua",Nicaragua
"M 7.0 - Acapulco, Mexico",7.0,2021-08-09,8,8,red,1,2504,us,0,0.07,43.0,mww,20.0,16.9502,-99.7877,"Acapulco, Mexico",Mexico
M 7.1 - South Sandwich Islands region,7.1,2021-08-22,1,4,green,1,776,us,0,9.799,32.0,mww,6.0,-60.3026,-24.9992,South Sandwich Islands region,Antarctica
M 6.6 - South Sandwich Islands region,6.6,2021-08-22,1,3,green,1,670,us,0,8.865,19.0,mww,7.0,-60.1023,-24.4608,South Sandwich Islands region,Antarctica
"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,2021-08-18,8,7,green,1,741,us,0,0.579,54.0,mww,93.0,-14.892,167.085,"Port-Olry, Vanuatu",Vanuatu region
M 6.9 - South Sandwich Islands region,6.9,2021-08-16,6,4,green,1,734,us,0,8.363,48.0,mww,16.7,-58.3814,-23.3318,South Sandwich Islands region,South Sandwich Islands region
"M 7.2 - Nippes, Haiti",7.2,2021-08-14,9,8,red,1,2331,us,0,1.178,23.0,mww,10.0,18.3521,-73.4804,"Nippes, Haiti",Haiti
"M 6.9 - 136 km SE of Perryville, Alaska",6.9,2021-08-14,5,4,green,1,738,ak,0,0.0,0.0,mww,33.3,55.2364,-157.707,"Perryville, Alaska",USA
"M 6.9 - 125 km SE of Perryville, Alaska",6.9,2021-08-14,5,4,green,1,738,us,0,1.173,36.0,mww,20.74,55.2657,-157.68,"Perryville, Alaska",USA
M 8.1 - South Sandwich Islands region,8.1,2021-12-08,0,7,green,0,1009,us,0,7.463,78.0,mww,22.79,-58.4157,-25.3206,South Sandwich Islands region,South Sandwich Islands region
M 7.5 - South Sandwich Islands region,7.5,2021-12-08,9,6,green,1,868,us,0,7.227,38.0,mww,47.23,-57.5959,-25.1874,South Sandwich Islands region,South Sandwich Islands region
"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.1,2021-11-08,9,7,green,1,846,us,0,1.273,25.0,mww,55.14,6.4547,126.742,"Pondaguitan, Philippines",Philippines
"M 8.2 - 91 km ESE of Perryville, Alaska",8.2,2021-07-29,8,6,green,1,1237,us,0,0.875,66.0,mww,46.66,55.4742,-157.917,"Perryville, Alaska",USA
"M 8.2 - 99 km SE of Perryville, Alaska",8.2,2021-07-29,8,7,yellow,1,1252,ak,0,0.0,0.0,mww,35.0,55.3154,-157.829,"Perryville, Alaska",USA
"M 6.7 - 15 km S of Hukay, Philippines",6.7,2021-07-23,8,5,green,1,935,us,0,8.139,12.0,mww,110.0,13.6989,120.713,"Hukay, Philippines",Philippines
"M 6.7 - 71 km S of Burica, Panama",6.7,2021-07-21,6,6,green,1,830,us,0,1.395,61.0,mww,10.0,7.5904,-82.8813,"Burica, Panama",Panama
"M 6.5 - Kermadec Islands, New Zealand",6.5,2021-06-20,0,4,green,1,650,us,0,7.994,24.0,mww,25.0,-30.2144,-177.773,"Kermadec Islands, New Zealand",New Zealand region
"M 6.5 - 265 km SSE of Alo, Wallis and Futuna",6.5,2021-05-21,5,7,green,1,652,us,0,4.518,44.0,mww,10.0,-16.4796,-177.356,"Alo, Wallis and Futuna",Wallis and Futuna
"M 7.3 - Southern Qinghai, China",7.3,2021-05-21,9,9,orange,0,1025,us,0,4.655,9.0,mww,10.0,34.5861,98.2551,"Southern Qinghai, China",CHINA
"M 6.7 - 260 km S of Sinabang, Indonesia",6.7,2021-05-14,8,4,green,0,698,us,0,1.487,37.0,mww,11.0,0.1684,96.6475,"Sinabang, Indonesia",Indonesia
M 6.7 - Mauritius - Reunion region,6.7,2021-12-05,9,3,green,0,694,us,0,10.669,45.0,mww,10.0,-17.2495,66.3745,Mauritius - Reunion region,Mauritius - Reunion region
M 6.9 -,6.9,2021-01-05,7,6,green,1,919,us,0,2.619,35.0,mww,43.0,38.2296,141.665,unknown,Japan
"M 6.5 - 207 km WSW of Haveluloto, Tonga",6.5,2021-04-25,4,4,green,0,651,us,0,5.931,20.0,mww,246.0,-21.6857,-177.064,"Haveluloto, Tonga",Tonga
"M 6.5 - 225 km WNW of Pangai, Tonga",6.5,2021-04-24,6,4,green,0,652,us,0,10.405,19.0,mww,301.0,-18.9204,-176.235,"Pangai, Tonga",Tonga
"M 7.0 - 30 km E of Ishinomaki, Japan",7.0,2021-03-20,7,7,yellow,1,1052,us,0,2.378,35.0,mww,43.0,38.4752,141.607,"Ishinomaki, Japan",Japan
"M 6.6 - 171 km SSE of Ust’-Kamchatsk Staryy, Russia",6.6,2021-03-16,5,5,green,1,672,us,0,3.183,18.0,mww,13.23,54.7018,163.208,"Ust’-Kamchatsk Staryy, Russia",Russia region
M 6.5 - Kermadec Islands region,6.5,2021-04-03,0,4,green,0,650,us,0,11.764,25.0,mwb,24.0,-28.4792,-176.619,Kermadec Islands region,Kermadec Islands region
"M 8.1 - Kermadec Islands, New Zealand",8.1,2021-04-03,9,8,green,1,1021,us,0,0.739,21.0,mww,28.93,-29.7466,-177.224,"Kermadec Islands, New Zealand",New Zealand region
"M 7.4 - Kermadec Islands, New Zealand",7.4,2021-04-03,3,7,green,1,843,us,0,0.437,30.0,mww,43.0,-29.6131,-177.842,"Kermadec Islands, New Zealand",New Zealand region
"M 7.3 - 182 km NE of Gisborne, New Zealand",7.3,2021-04-03,7,6,green,1,932,us,0,0.918,24.0,mww,10.0,-37.596,179.544,"Gisborne, New Zealand",New Zealand region
"M 7.1 - 73 km ENE of Namie, Japan",7.1,2021-02-13,9,8,orange,1,1612,us,0,3.085,11.0,mww,43.98,37.6856,141.992,"Namie, Japan",Japan
M 7.7 - southeast of the Loyalty Islands,7.7,2021-10-02,9,4,green,1,918,us,0,7.989,15.0,mww,10.0,-23.2787,171.489,the Loyalty Islands,New Caledonia
M 6.9 - South Shetland Islands,6.9,2021-01-23,9,5,green,1,739,us,0,1.55,16.0,mww,15.0,-61.8484,-55.559,South Shetland Islands,Antarctica
"M 7.0 - 211 km SE of Pondaguitan, Philippines",7.0,2021-01-21,7,5,green,1,802,us,0,2.821,15.0,mww,80.0,5.0074,127.517,"Pondaguitan, Philippines",Philippines
"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,2021-11-01,8,8,green,0,776,us,0,2.043,22.0,mww,10.0,51.2407,100.443,"Turt, Mongolia",Mongolia
"M 6.7 - 146 km WNW of Corral, Chile",6.7,2020-12-27,5,5,green,1,776,us,0,1.319,19.0,mww,10.0,-39.3264,-74.9067,"Corral, Chile",Chile
"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",7.0,2020-10-30,8,7,orange,0,1527,us,0,1.518,18.0,mww,21.0,37.8973,26.7953,"Néon Karlovásion, Greece",Greece
"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,2020-10-19,9,7,yellow,1,1165,us,0,0.23,36.0,mww,28.37,54.662,-159.675,"Sand Point, Alaska",USA
M 6.9 - central Mid-Atlantic Ridge,6.9,2020-09-18,0,3,green,1,732,us,0,11.255,16.0,mww,10.0,0.9604,-26.8332,central Mid-Atlantic Ridge,central Mid-Atlantic Ridge
"M 6.5 - 94 km NW of Vallenar, Chile",6.5,2020-01-09,6,6,green,0,674,us,0,0.388,49.0,mww,16.0,-27.9285,-71.3937,"Vallenar, Chile",Chile
"M 6.8 - 86 km NW of Vallenar, Chile",6.8,2020-01-09,6,7,green,1,824,us,0,0.312,69.0,mww,21.0,-28.013,-71.1958,"Vallenar, Chile",Chile
M 6.5 - central Mid-Atlantic Ridge,6.5,2020-08-30,4,5,green,0,651,us,0,15.394,31.0,mww,10.0,0.8696,-29.7046,central Mid-Atlantic Ridge,central Mid-Atlantic Ridge
"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,2020-08-21,4,3,green,0,749,us,0,2.267,20.0,mww,624.0,-6.6704,123.493,"Katabu, Indonesia",Indonesia
"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,2020-08-18,4,4,green,0,735,us,0,1.716,25.0,mww,26.0,-4.2791,101.215,"Bengkulu, Indonesia",Indonesia
"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,2020-08-18,5,4,green,0,716,us,0,1.816,34.0,mww,22.0,-4.3724,101.095,"Bengkulu, Indonesia",Indonesia
"M 6.6 - 13 km E of San Pedro, Philippines",6.6,2020-08-18,9,8,yellow,1,784,us,0,5.128,14.0,mww,10.0,12.0065,124.13,"San Pedro, Philippines",Philippines
"M 7.8 - 99 km SSE of Perryville, Alaska",7.8,2020-07-22,9,7,green,1,1111,us,0,0.621,60.0,mww,28.0,55.1079,-158.477,"Perryville, Alaska",USA
"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7.0,2020-07-17,6,7,green,1,820,us,0,1.671,18.0,mww,73.0,-7.847,147.755,"Popondetta, Papua New Guinea",Papua New Guinea
"M 6.6 - 97 km N of Batang, Indonesia",6.6,2020-06-07,4,2,green,0,684,us,0,1.458,14.0,mww,533.76,-5.6368,110.678,"Batang, Indonesia",Indonesia
"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.4,2020-06-23,8,8,orange,1,1494,us,0,0.151,30.0,mww,20.0,15.9163,-95.9533,"Santa María Xadani, Mexico",Mexico
M 7.4 - south of the Kermadec Islands,7.4,2020-06-18,7,7,green,1,873,us,0,4.035,23.0,mww,10.0,-33.2938,-177.838,the Kermadec Islands,New Zealand region
"M 6.6 - 130 km WNW of Naze, Japan",6.6,2020-06-13,5,4,green,1,734,us,0,2.015,18.0,mww,165.0,28.9386,128.262,"Naze, Japan",Japan
"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,2020-03-06,6,6,green,1,835,us,0,1.164,21.0,mww,112.0,-23.2966,-68.4204,"San Pedro de Atacama, Chile",Chile
"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,2020-05-15,7,8,green,0,1320,nn,27,0.357,55.79,ml,2.7,38.1689,-117.85,"Monte Cristo Range, NV Earthquake",USA
"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.6,2020-12-05,4,6,green,1,671,us,0,3.403,12.0,mww,107.0,-12.0662,166.648,"Lata, Solomon Islands",Solomon Islands
M 6.8 - Banda Sea,6.8,2020-06-05,4,6,green,0,738,us,0,1.921,16.0,mww,96.0,-6.7762,129.785,Banda Sea,Indonesia
"M 6.5 - 91 km S of Néa Anatolí, Greece",6.5,2020-02-05,7,6,green,0,678,us,0,1.293,19.0,mww,10.0,34.1818,25.7101,"Néa Anatolí, Greece",Greece
"M 6.5 - Stanley, Idaho",6.5,2020-03-31,8,8,green,0,1410,us,0,0.885,31.0,mww,12.06,44.4646,-115.118,"Stanley, Idaho",USA
"M 7.5 - 221 km SSE of Severo-Kuril’sk, Russia",7.5,2020-03-25,6,5,green,1,879,us,0,4.109,12.0,mww,57.8,48.9638,157.695,"Severo-Kuril’sk, Russia",Russia region
"M 7.0 - 95 km ENE of Kuril’sk, Russia",7.0,2020-02-13,5,6,yellow,1,770,us,0,4.501,25.0,mww,143.0,45.6161,148.959,"Kuril’sk, Russia",Russia region
"M 7.7 - 123 km NNW of Lucea, Jamaica",7.7,2020-01-28,9,6,yellow,1,1812,us,0,1.657,26.0,mww,14.86,19.4193,-78.756,"Lucea, Jamaica",Jamaica
"M 6.7 - 13 km N of Do?anyol, Turkey",6.7,2020-01-24,8,9,orange,0,1247,us,0,0.87,49.0,mww,10.0,38.4312,39.0609,"Gözeli, Turkey",Turkey
"M 6.8 - 7 km S of Magsaysay, Philippines",6.8,2019-12-15,9,7,yellow,1,825,us,0,0.546,39.0,mww,18.0,6.6969,125.174,"Magsaysay, Philippines",Philippines
"M 7.1 - 138km E of Bitung, Indonesia",7.1,2019-11-14,6,6,green,1,799,us,0,1.271,11.0,mww,33.0,1.6213,126.416,"Bitung, Indonesia",Indonesia
"M 6.5 - 166km SSW of Ndoi Island, Fiji",6.5,2019-08-11,0,2,green,0,650,us,0,4.765,25.0,mww,577.0,-21.9449,-179.511,"Ndoi Island, Fiji",Fiji region
"M 6.6 - 136 km W of Neiafu, Tonga",6.6,2019-04-11,4,4,green,1,673,us,0,5.086,48.0,mww,10.0,-18.5747,-175.272,"Neiafu, Tonga",Tonga
"M 6.5 - 2km ESE of Kisante, Philippines",6.5,2019-10-31,9,7,green,1,733,us,0,0.428,19.0,mww,10.0,6.9098,125.178,"Kisante, Philippines",Philippines
"M 6.6 - 10 km NE of Columbio, Philippines",6.6,2019-10-29,9,7,yellow,1,780,us,0,0.646,24.0,mww,15.0,6.7567,125.008,"Columbio, Philippines",Philippines
"M 6.7 - 70 km WSW of Constitución, Chile",6.7,2019-09-29,7,6,green,1,844,us,0,1.269,98.0,mww,11.0,-35.4758,-73.163,"Constitución, Chile",Chile
"M 6.5 - 11km S of Kairatu, Indonesia",6.5,2019-09-25,7,7,yellow,1,656,us,0,3.909,15.0,mww,12.26,-3.4528,128.37,"Kairatu, Indonesia",Indonesia
"M 6.6 - 34km NNE of Ndoi Island, Fiji",6.6,2019-01-09,2,3,unknown,1,671,us,0,4.121,19.0,mww,591.0,-20.3641,-178.57,"Ndoi Island, Fiji",Fiji region
"M 6.6 - 131km S of Bristol Island, South Sandwich Islands",6.6,2019-08-27,0,4,green,1,670,us,0,12.896,19.0,mww,16.0,-60.2152,-26.5801,"Bristol Island, South Sandwich Islands",UK
"M 6.9 - 152 km SW of Labuan, Indonesia",6.9,2019-02-08,4,6,green,0,875,us,0,2.839,23.0,mww,49.0,-7.2822,104.791,"Labuan, Indonesia",Indonesia
"M 6.8 - 96 km SW of San Antonio, Chile",6.8,2019-01-08,6,6,green,1,947,us,0,0.817,35.0,mww,25.0,-34.2364,-72.3102,"San Antonio, Chile",Chile
"M 6.6 - 62km E of Lakatoro, Vanuatu",6.6,2019-07-31,0,4,green,1,670,us,0,6.024,30.0,mww,181.0,-16.1985,167.998,"Lakatoro, Vanuatu",Vanuatu region
"M 7.2 - 93km NNE of Laiwui, Indonesia",7.2,2019-07-14,7,7,green,1,809,us,0,1.504,38.0,mww,18.98,-0.5858,128.034,"Laiwui, Indonesia",Indonesia
"M 6.6 - 200km W of Broome, Australia",6.6,2019-07-14,5,5,green,0,791,us,0,2.978,32.0,mww,10.0,-18.2242,120.358,"Broome, Australia",Australia
"M 6.9 - 134km WSW of Kota Ternate, Indonesia",6.9,2019-07-07,7,5,green,0,747,us,0,1.205,21.0,mww,35.0,0.5126,126.189,"Kota Ternate, Indonesia",Indonesia
"M 7.1 - 18km W of Searles Valley, CA",7.1,2019-06-07,9,9,yellow,0,1646,ci,77,0.04616,43.0,mw,8.0,35.7695,-117.599,"Searles Valley, CA",USA
"M 7.3 - 292km NW of Saumlaki, Indonesia",7.3,2019-06-24,4,6,green,1,952,us,0,2.629,16.0,mww,212.0,-6.4078,129.169,"Saumlaki, Indonesia",Indonesia
"M 7.3 - 116km NE of L'Esperance Rock, New Zealand",7.3,2019-06-15,8,6,green,1,830,us,0,1.402,11.0,mww,46.0,-30.6441,-178.1,"L'Esperance Rock, New Zealand",New Zealand region
"M 6.6 - 32 km S of La Libertad, El Salvador",6.6,2019-05-30,7,6,yellow,1,886,us,0,1.193,22.0,mww,57.92,13.1994,-89.3056,"La Libertad, El Salvador",El Salvador
"M 8.0 - 78 km NE of Navarro, Peru",8.0,2019-05-26,9,8,orange,1,1890,us,0,3.18,17.0,mww,122.57,-5.8119,-75.2697,"Navarro, Peru",Peru
"M 7.6 - 46km SSE of Namatanai, Papua New Guinea",7.6,2019-05-14,7,7,green,1,929,us,0,0.453,16.0,mww,10.0,-4.051,152.597,"Namatanai, Papua New Guinea",Papua New Guinea
"M 7.1 - 33km NW of Bulolo, Papua New Guinea",7.1,2019-06-05,7,6,yellow,1,826,us,0,2.514,16.0,mww,146.0,-6.9746,146.449,"Bulolo, Papua New Guinea",Papua New Guinea
"M 6.8 - 98km SSW of Luwuk, Indonesia",6.8,2019-12-04,5,6,green,1,717,us,0,0.791,28.0,mww,15.46,-1.8146,122.58,"Luwuk, Indonesia",Indonesia
"M 6.5 - 83km ENE of Bristol Island, South Sandwich Islands",6.5,2019-09-04,0,5,green,1,650,us,0,7.568,18.0,mww,38.0,-58.6262,-25.304,"Bristol Island, South Sandwich Islands",South Sandwich Islands region
"M 7.0 - 22 km NNE of Azángaro, Peru",7.0,2019-01-03,7,4,green,1,869,us,0,2.501,42.0,mww,267.0,-14.7131,-70.1546,"Azángaro, Peru",Peru
"M 7.5 - 111km ESE of Palora, Ecuador",7.5,2019-02-22,7,7,yellow,1,1145,us,0,2.045,15.0,mww,145.0,-2.1862,-77.0505,"Palora, Ecuador",Ecuador
"M 6.7 - 5 km SW of Puerto Madero, Mexico",6.7,2019-01-02,6,6,yellow,1,909,us,0,0.289,43.0,mww,66.0,14.6802,-92.4527,"Puerto Madero, Mexico",Mexico
M 6.7 - Prince Edward Islands region,6.7,2019-01-22,0,3,green,0,691,us,0,7.527,17.0,mww,13.0,-43.1219,42.3568,Prince Edward Islands region,Canada
"M 6.7 - 10 km SSW of Coquimbo, Chile",6.7,2019-01-20,8,8,orange,1,1600,us,0,0.173,22.0,mww,63.0,-30.0404,-71.3815,"Coquimbo, Chile",Chile
"M 6.6 - 94 km NW of Sola, Vanuatu",6.6,2019-01-15,5,4,green,1,671,us,0,7.818,18.0,mww,35.0,-13.336,166.875,"Sola, Vanuatu",Vanuatu region
M 6.6 - Molucca Sea,6.6,2019-06-01,2,4,green,1,672,us,0,1.596,33.0,mww,43.21,2.258,126.758,Molucca Sea,Indonesia
"M 6.8 - 90km W of Tarauaca, Brazil",6.8,2019-05-01,3,3,green,0,715,us,0,1.181,16.0,mww,570.41,-8.144,-71.587,"Tarauaca, Brazil",Brazil
"M 7.0 - 96 km ESE of Pondaguitan, Philippines",7.0,2018-12-29,5,5,green,1,803,us,0,1.769,21.0,mww,60.21,5.8983,126.921,"Pondaguitan, Philippines",Philippines
"M 7.3 - 187 km SE of Ust’-Kamchatsk Staryy, Russia",7.3,2018-12-20,3,7,green,1,822,us,0,4.126,23.0,mww,16.56,55.0999,164.699,"Ust’-Kamchatsk Staryy, Russia",Russia region
M 7.1 - South Sandwich Islands region,7.1,2018-11-12,0,5,green,1,776,us,0,7.043,20.0,mww,133.0,-58.5446,-26.3856,South Sandwich Islands region,South Sandwich Islands region
"M 6.6 - 199 km ESE of Tadine, New Caledonia",6.6,2018-05-12,0,4,green,1,670,us,0,2.679,31.0,mww,10.0,-22.0629,169.733,"Tadine, New Caledonia",New Caledonia
"M 7.5 - 166 km ESE of Tadine, New Caledonia",7.5,2018-05-12,3,6,green,1,871,us,0,2.405,18.0,mww,10.0,-21.9496,169.427,"Tadine, New Caledonia",New Caledonia
"M 7.1 - 1 km SE of Point MacKenzie, Alaska",7.1,2018-11-30,8,8,orange,1,1790,ak,0,0.0,0.0,mw,46.7,61.3464,-149.955,"Point MacKenzie, Alaska",USA
